"","Scientific_Name","Class","Common_Name"
"495","Ballerus ballerus","actinopterygii","Zope"
"496","Barbatula barbatula","actinopterygii","Stone loach"
"497","Barbus barbus","actinopterygii","Barbel"
"498","Barbus haasi","actinopterygii","Barbo de Cola Roja"
"499","Barbus meridionalis","actinopterygii","Mediterranean barbel"
"500","Barbus prespensis","actinopterygii","Briána"
"501","Bartramia longicauda","aves","Upland sandpiper"
"502","Baryphthengus martii","aves","Rufous motmot"
"503","Basileuterus culicivorus","aves","Stripe-crowned warbler"
"504","Basileuterus hypoleucus","aves","White-bellied warbler"
"505","Basilinna leucotis","aves","White-eared hummingbird"
"506","Batagur baska","reptilia","River terrapin"
"507","Batagur borneoensis","reptilia","Painted terrapin"
"508","Batagur trivittata","reptilia","Burmese roofed turtle"
"509","Bathygobius soporator","actinopterygii","Frillfin goby"
"510","Bathyraja abyssicola","chondrichthyes","Deep-sea skate"
"511","Bathyraja albomaculata","chondrichthyes","White-dotted skate"
"512","Bathyraja aleutica","chondrichthyes","Aleutian skate"
"513","Bathyraja brachyurops","chondrichthyes","Broadnose skate"
"514","Bathyraja eatonii","chondrichthyes","Eaton's skate"
"515","Bathyraja griseocauda","chondrichthyes","Graytail skate"
"516","Bathyraja interrupta","chondrichthyes","Sandpaper skate"
"517","Bathyraja irrasa","chondrichthyes","Kerguelen sandpaper skate"
"518","Bathyraja minispinosa","chondrichthyes","Whitebrow skate"
"519","Bathyraja parmifera","chondrichthyes","Alaska skate"
"520","Bathyraja spinicauda","chondrichthyes","Spinytail skate"
"521","Bathyraja trachura","chondrichthyes","Roughtail skate"
"522","Batrachoseps attenuatus","amphibia","California slender salamander"
"523","Beatragus hunteri","mammalia","Hirola / Hunter's antelope / Hunter's hartebeest"
"524","Belonesox belizanus","actinopterygii","Top minnow"
"525","Berardius bairdii","mammalia","Baird's beaked whale"
"526","Berenicornis comatus","aves","White-crowned hornbill"
"527","Beringraja binoculata","chondrichthyes","Big skate"
"528","Beringraja rhina","chondrichthyes","Longnose skate"
"529","Beryx splendens","actinopterygii","Splendid alfonsino"
"530","Bettongia penicillata","mammalia","Woylie / Brush-tailed bettong"
"531","Bison bison","mammalia","American bison / Wood bison / Plains bison"
"532","Bison bonasus","mammalia","European bison"
"533","Bitis gabonica","reptilia","Gaboon adder"
"534","Bitis rhinoceros","reptilia","Gaboon adder"
"535","Bitis rhinoceros","reptilia","Rhinoceros viper"
"536","Blarina brevicauda","mammalia","Northern short-tailed shrew"
"537","Blastocerus dichotomus","mammalia","Marsh deer"
"538","Blepsias cirrhosus","actinopterygii","Silverspotted sculpin"
"539","Blicca bjoerkna","actinopterygii","White bream"
"540","Blommersia angolafa","amphibia","No common name"
"541","Blommersia grandisonae","amphibia","Ambrana Madagascar frog"
"542","Boa imperator","reptilia","Boa constrictor"
"543","Boana cinerascens","amphibia","Rana granosa"
"544","Boana fasciata","amphibia","Gunther's banded treefrog"
"545","Bodianus rufus","actinopterygii","Spanish hogfish"
"546","Boiga irregularis","reptilia","Brown catsnake / Brown tree snake"
"547","Bolbometopon muricatum","actinopterygii","Green humphead parrotfish"
"548","Bolitoglossa colonnea","amphibia","La Loma salamander"
"549","Bolitoglossa lincolni","amphibia","Lincoln's mushroomtongue salamander"
"550","Bolitoglossa morio","amphibia","Cope's mushroomtongue salamander"
"551","Bolitoglossa rostrata","amphibia","Longnose mushroomtongue salamander"
"552","Bolitoglossa schizodactyla","amphibia","Cocle mushroomtongue salamander"
"553","Bombina variegata","amphibia","Yellow-bellied toad"
"554","Bombycilla cedrorum","aves","Cedar waxwing"
"555","Bombycilla garrulus","aves","Bohemian waxwing"
"556","Bonasa bonasia","aves","Hazel grouse"
"557","Bonasa umbellus","aves","Ruffed grouse"
"558","Boophis albilabris","amphibia","White-lipped bright-eyed frog"
"559","Boophis albipunctatus","amphibia","Spotted bright-eyed frog"
"560","Boophis bottae","amphibia","No common name"
"561","Boophis luteus","amphibia","Ankafana bright-eyed frog"
"562","Boophis madagascariensis","amphibia","Madagascar bright-eyed frog"
"563","Boophis marojezensis","amphibia","No common name"
"564","Boophis popi","amphibia","No common name"
"565","Boophis pyrrhus","amphibia","No common name"
"566","Boophis roseipalmatus","amphibia","No common name"
"567","Boophis rufioculis","amphibia","No common name"
"568","Boops boops","actinopterygii","Bogue"
"569","Boopsoidea inornata","actinopterygii","Fransmadam"
"570","Boreogadus saida","actinopterygii","Polar cod / Arctic cod"
"571","Borikenophis variegatus","reptilia","Puerto Rican racer"
"572","Bos gaurus","mammalia","Gaur"
"573","Bos mutus","mammalia","Wild yak"
"574","Boselaphus tragocamelus","mammalia","Nilgai"
"575","Botaurus lentiginosus","aves","American bittern"
"576","Botaurus stellaris","aves","Eurasian bittern"
"577","Bothrops insularis","reptilia","Golden lancehead"
"578","Bothus lunatus","actinopterygii","Plate fish"
"579","Brachirus selheimi","actinopterygii","Freshwater sole"
"580","Brachydeuterus auritus","actinopterygii","Bigeye grunt"
"581","Brachylophus vitiensis","reptilia","Fijian crested iguana"
"582","Brachyphylla cavernarum","mammalia","Antillean fruit-eating bat"
"583","Brachyramphus marmoratus","aves","Marbled murrelet"
"584","Brachyteles arachnoides","mammalia","Woolly spider monkey"
"585","Brachyteles hypoxanthus","mammalia","Northern muriqui"
"586","Branta bernicla","aves","Brent goose"
"587","Branta canadensis","aves","Canada goose"
"588","Branta hutchinsii","aves","Cackling goose"
"589","Branta leucopsis","aves","Barnacle goose"
"590","Branta ruficollis","aves","Red-breasted goose"
"591","Branta sandvicensis","aves","Hawaiian goose"
"592","Brevoortia aurea","actinopterygii","Brazilian menhaden"
"593","Brevoortia patronus","actinopterygii","Gulf menhaden"
"594","Brevoortia pectinata","actinopterygii","Argentine menhaden"
"595","Brevoortia tyrannus","actinopterygii","Atlantic menhaden"
"596","Brosme brosme","actinopterygii","Tusk / Cusk"
"597","Brotogeris chiriri","aves","Yellow-chevroned parakeet"
"598","Brotogeris tirica","aves","Plain parakeet"
"599","Brycinus imberi","actinopterygii","Spot-tail"
"600","Brycinus leuciscus","actinopterygii","Yellow-fin tetras"
"601","Brycinus macrolepidotus","actinopterygii","True big-scale tetra"
"602","Brycinus nurse","actinopterygii","Nurse tetra"
"603","Brycinus sadleri","actinopterygii","Sadler's robber"
"604","Brycon amazonicus","actinopterygii","No common name"
"605","Brycon hilarii","actinopterygii","Piraputanga"
"606","Brycon nattereri","actinopterygii","No common name"
"607","Bryconops affinis","actinopterygii","Orangefin tetra"
"608","Bryconops caudomaculatus","actinopterygii","Tailspot tetra"
"609","Bubalus arnee","mammalia","Asiatic buffalo / Water buffalo"
"610","Bubo bubo","aves","Eurasian eagle-owl"
"611","Bubo scandiacus","aves","Snowy owl"
"612","Bubo virginianus","aves","Great horned owl"
"613","Bubulcus ibis","aves","Cattle egret"
"614","Bucephala albeola","aves","Bufflehead"
"615","Bucephala clangula","aves","Common goldeneye"
"616","Bucephala islandica","aves","Barrow's goldeneye"
"617","Buceros bicornis","aves","Great hornbill"
"618","Buceros rhinoceros","aves","Rhinoceros hornbill"
"619","Bucorvus leadbeateri","aves","Southern ground-hornbill"
"620","Bufo bufo","amphibia","Common toad"
"621","Bugeranus carunculatus","aves","Wattled crane"
"622","Buglossidium luteum","actinopterygii","Solenette"
"623","Bunaka gyrinoides","actinopterygii","Greenback gauvina"
"624","Burhinus oedicnemus","aves","Eurasian thick-knee / Stone curlew"
"625","Burhinus senegalensis","aves","Senegal thick-knee"
"626","Burramys parvus","mammalia","Mountain pygmy possum"
"627","Buteo brachyurus","aves","Short-tailed hawk"
"628","Buteo buteo","aves","Eurasian buzzard"
"629","Buteo jamaicensis","aves","Red-tailed hawk"
"630","Buteo lagopus","aves","Rough-legged buzzard"
"631","Buteo lineatus","aves","Red-shouldered hawk"
"632","Buteo nitidus","aves","Grey-lined hawk"
"633","Buteo platypterus","aves","Broad-winged hawk"
"634","Buteo regalis","aves","Ferruginous hawk"
"635","Buteo solitarius","aves","Hawaiian hawk"
"636","Buteo swainsoni","aves","Swainson's hawk"
"637","Buteogallus anthracinus","aves","Common black hawk"
"638","Buteogallus meridionalis","aves","Savanna hawk"
"639","Butis butis","actinopterygii","Duckbill sleeper"
"640","Butorides striata","aves","Green-backed heron"
"641","Bycanistes subcylindricus","aves","Grey-cheeked hornbill"
"642","Cacatua galerita","aves","Sulphur-crested cockatoo"
"643","Cacatua leadbeateri","aves","Major mitchell's cockatoo"
"644","Cacatua sulphurea","aves","Yellow-crested cockatoo"
"645","Caiman crocodilus","reptilia","Common caiman"
"646","Caiman latirostris","reptilia","Broad-snouted caiman"
"647","Caiman yacare","reptilia","Yacare caiman"
"648","Cairina moschata","aves","Muscovy duck"
"649","Calamospiza melanocorys","aves","Lark bunting"
"650","Calamus bajonado","actinopterygii","Jolthead porgy"
"651","Calamus calamus","actinopterygii","Saucereye porgy "
"652","Calandrella brachydactyla","aves","Greater short-toed lark"
"653","Calcarius lapponicus","aves","Lapland longspur"
"654","Calcarius ornatus","aves","Chestnut-collared longspur"
"655","Calcarius pictus","aves","Smith's longspur"
"656","Calidris acuminata","aves","Sharp-tailed sandpiper"
"657","Calidris alba","aves","Sanderling"
"658","Calidris alpina","aves","Dunlin"
"659","Calidris bairdii","aves","Baird's sandpiper"
"660","Calidris canutus","aves","Red knot"
"661","Calidris falcinellus","aves","Broad-billed sandpiper"
"662","Calidris ferruginea","aves","Curlew sandpiper"
"663","Calidris fuscicollis","aves","White-rumped sandpiper"
"664","Calidris himantopus","aves","Stilt sandpiper"
"665","Calidris maritima","aves","Purple sandpiper"
"666","Calidris mauri","aves","Western sandpiper"
"667","Calidris melanotos","aves","Pectoral sandpiper"
"668","Calidris minuta","aves","Little stint"
"669","Calidris minutilla","aves","Least sandpiper"
"670","Calidris ptilocnemis","aves","Rock sandpiper"
"671","Calidris pugnax","aves","Ruff"
"672","Calidris pusilla","aves","Semipalmated sandpiper"
"673","Calidris pygmaea","aves","Spoon-billed sandpiper"
"674","Calidris ruficollis","aves","Red-necked stint"
"675","Calidris subruficollis","aves","Buff-breasted sandpiper"
"676","Calidris temminckii","aves","Temminck's stint"
"677","Calidris tenuirostris","aves","Great knot"
"678","Calidris virgata","aves","Surfbird"
"679","Callaeas cinereus","aves","South Island kokako"
"680","Plecturocebus moloch","mammalia","Red-bellied titi"
"681","Callionymus lyra","actinopterygii","Dragonet"
"682","Callionymus maculatus","actinopterygii","Spotted dragonet"
"683","Calliope calliope","aves","Siberian rubythroat"
"684","Callipepla californica","aves","California quail"
"685","Callipepla gambelii","aves","Gambel's quail"
"686","Callipepla squamata","aves","Scaled quail"
"687","Callisaurus draconoides","reptilia","Zebra-tailed lizard"
"688","Callorhinchus callorynchus","chondrichthyes","Plownose chimaera"
"689","Callorhinus ursinus","mammalia","Northern fur seal"
"690","Callospermophilus lateralis","mammalia","Golden-mantled ground squirrel"
"691","Calomys venustus","mammalia","Córdoba laucha"
"692","Calonectris diomedea","aves","Scopoli's shearwater"
"693","Calotomus carolinus","actinopterygii","Carolines parrotfish"
"694","Calypte anna","aves","Anna's hummingbird"
"695","Calypte costae","aves","Costa's hummingbird"
"696","Calyptorhynchus banksii","aves","Red-tailed black-cockatoo"
"697","Calyptorhynchus lathami","aves","Glossy black-cockatoo"
"698","Campephilus robustus","aves","Robust woodpecker"
"699","Camptostoma obsoletum","aves","Southern beardless tyrannulet"
"700","Campylopterus curvipennis","aves","Wedge-tailed sabrewing"
"701","Campylopterus hemileucurus","aves","Violet sabrewing"
"702","Campylorhynchus brunneicapillus","aves","Cactus wren"
"703","Campylorhynchus turdinus","aves","Thrush-like wren"
"704","Candidia barbatus","actinopterygii","No common name"
"705","Canis adustus","mammalia","Side-striped jackal"
"706","Canis aureus","mammalia","Golden jackal"
"707","Canis latrans","mammalia","Coyote"
"708","Canis lupus","mammalia","Grey wolf / Gray wolf"
"709","Canis mesomelas","mammalia","Black-backed jackal"
"710","Canis simensis","mammalia","Ethiopian wolf"
"711","Cantherhines macrocerus","actinopterygii","American whitespotted filefish"
"712","Cantherhines pullus","actinopterygii","Orangespotted filefish"
"713","Canthidermis sufflamen","actinopterygii","Ocean triggerfish"
"714","Canthigaster jactator","actinopterygii","Hawaiian whitespotted toby"
"715","Canthigaster rostrata","actinopterygii","Caribbean sharpnose-puffer"
"716","Capito niger","aves","Black-spotted barbet"
"717","Capra aegagrus","mammalia","Sind ibex"
"718","Capra caucasica","mammalia","East Caucasian tur / Daghestan tur"
"719","Capra falconeri","mammalia","Markhor"
"720","Capra hircus","mammalia","Sind ibex"
"721","Capra ibex","mammalia","Alpine ibex"
"722","Capra nubiana","mammalia","Nubian ibex"
"723","Capra pyrenaica","mammalia","Spanish ibex"
"724","Capra sibirica","mammalia","Siberian ibex"
"725","Capra walie","mammalia","Walia ibex"
"726","Capreolus capreolus","mammalia","European roe deer"
"727","Capreolus pygargus","mammalia","Siberian roe deer"
"728","Capricornis sumatraensis","mammalia","Southern serow"
"729","Caprimulgus europaeus","aves","European nightjar"
"730","Caprimulgus longipennis","aves","Standard-winged nightjar"
"731","Caprimulgus vexillarius","aves","Pennant-winged nightjar"
"732","Capros aper","actinopterygii","Boar-fish"
"733","Capsiempis flaveola","aves","Yellow tyrannulet"
"734","Caracara cheriway","aves","Crested caracara"
"735","Caracara plancus","aves","Southern caracara"
"736","Caranx bartholomaei","actinopterygii","Yellow jack "
"737","Caranx caballus","actinopterygii","Green jack"
"738","Caranx caninus","actinopterygii","Pacific crevalle jack"
"739","Caranx crysos","actinopterygii","Blue runner"
"740","Caranx heberi","actinopterygii","Blacktip trevally"
"741","Caranx ignobilis","actinopterygii","Giant trevally"
"742","Caranx latus","actinopterygii","Horse-eye jack"
"743","Caranx melampygus","actinopterygii","Bluefin trevally"
"744","Caranx rhonchus","actinopterygii","False scad"
"745","Caranx ruber","actinopterygii","Bar jack"
"746","Caranx sexfasciatus","actinopterygii","Bigeye trevally"
"747","Carassius auratus","actinopterygii","Goldfish"
"748","Carassius carassius","actinopterygii","Crucian carp"
"749","Carassius gibelio","actinopterygii","Prussian carp"
"750","Carcharhinus acronotus","chondrichthyes","Blacknose shark"
"751","Carcharhinus albimarginatus","chondrichthyes","Silvertip shark"
"752","Carcharhinus amblyrhynchos","chondrichthyes","Blacktail reef shark"
"753","Carcharhinus amboinensis","chondrichthyes","Pigeye shark"
"754","Carcharhinus brachyurus","chondrichthyes","Copper shark"
"755","Carcharhinus brevipinna","chondrichthyes","Spinner shark"
"756","Carcharhinus cautus","chondrichthyes","Nervous shark"
"757","Carcharhinus falciformis","chondrichthyes","Silky shark"
"758","Carcharhinus galapagensis","chondrichthyes","Galapagos shark"
"759","Carcharhinus isodon","chondrichthyes","Finetooth shark"
"760","Carcharhinus leucas","chondrichthyes","Bull shark"
"761","Carcharhinus limbatus","chondrichthyes","Blacktip shark"
"762","Carcharhinus longimanus","chondrichthyes","Oceanic whitetip shark"
"763","Carcharhinus melanopterus","chondrichthyes","Blacktip reef shark"
"764","Carcharhinus obscurus","chondrichthyes","Dusky shark"
"765","Carcharhinus plumbeus","chondrichthyes","Sandbar shark"
"766","Carcharias taurus","chondrichthyes","Sand tiger shark"
"767","Carcharodon carcharias","chondrichthyes","Great white shark"
"768","Cardellina canadensis","aves","Canada warbler"
"769","Cardellina pusilla","aves","Wilson's warbler"
